work_year;experience_level;employment_type;job_title;salary;salary_currency;salary_in_usd;employee_residence;remote_ratio;company_location;company_size
2023;EN;FT;Data Engineer;12000;USD;12000;VN;0;VN;L
2023;EN;FT;Data Engineer;25000;EUR;26827;DE;100;DE;L
2023;EN;FT;Data Analyst;30000;USD;30000;IN;50;IN;M
2023;EN;FT;Data Analyst;30000;USD;30000;AR;100;US;S
2023;SE;FT;Data Engineer;35000;EUR;37558;PT;0;PT;M
2023;MI;FT;Data Analyst;35000;GBP;42533;GB;0;GB;M
2023;SE;FT;Data Analyst;35000;GBP;42533;CF;100;CF;M
2023;SE;FT;Data Scientist;36000;EUR;38631;ES;0;ES;M
2023;SE;FT;Data Scientist;36000;EUR;38631;ES;0;ES;M
2023;SE;FT;Data Scientist;36000;EUR;38631;ES;0;ES;M
2023;SE;FT;Data Scientist;36000;EUR;38631;ES;0;ES;M
2023;SE;FT;Data Scientist;36000;EUR;38631;LV;0;LV;M
2023;MI;FT;Data Analyst;36050;GBP;43809;GB;100;GB;M
2023;MI;FT;Data Analyst;36050;GBP;43809;GB;0;GB;M
2023;SE;FT;Data Analyst;38000;EUR;40777;ES;0;ES;M
2023;SE;FT;Data Analyst;38000;EUR;40777;ES;0;ES;M
2023;MI;FT;Data Analyst;38000;GBP;46178;GB;0;GB;M
2023;MI;FT;Data Scientist;40000;USD;40000;FR;50;FR;L
2023;MI;FT;Data Analyst;40000;GBP;48609;GB;0;GB;M
2023;MI;FT;Data Scientist;42000;GBP;51039;GB;0;GB;M
2023;MI;FT;Data Scientist;42000;GBP;51039;GB;0;GB;M
2023;SE;FT;Data Scientist;45000;EUR;48289;ES;0;ES;M
2023;SE;FT;Data Scientist;45000;EUR;48289;ES;0;ES;M
2023;SE;FT;Data Scientist;45000;EUR;48289;ES;0;ES;M
2023;MI;FT;Data Scientist;45000;EUR;48289;ES;0;ES;M
2023;MI;FT;Data Engineer;45000;EUR;48289;SI;100;SI;M
2023;SE;FT;Data Scientist;45000;EUR;48289;ES;0;ES;M
2023;SE;FT;Data Analyst;45000;GBP;54685;CF;100;CF;M
2023;MI;FT;Data Scientist;45000;GBP;54685;GB;0;GB;M
2023;MI;FT;Data Analyst;45000;GBP;54685;GB;0;GB;M
2023;MI;FT;Data Analyst;45000;GBP;54685;GB;0;GB;M
2023;MI;FT;Data Engineer;47500;GBP;57723;GB;100;GB;M
2023;EN;FT;Data Analyst;48000;USD;48000;US;0;US;M
2023;EN;FT;Data Analyst;48000;USD;48000;US;0;US;M
2023;SE;FT;Data Analyst;48000;EUR;51508;ES;100;ES;M
2023;SE;FT;Data Analyst;48000;EUR;51508;ES;0;ES;M
2023;SE;FT;Data Analyst;48000;EUR;51508;ES;0;ES;M
2023;EN;FT;Data Analyst;50000;USD;50000;KW;50;US;L
2023;EN;FT;Data Scientist;50000;USD;50000;IN;100;US;M
2023;MI;FT;Data Scientist;50000;EUR;53654;RO;50;RO;L
2023;MI;FT;Data Analyst;50000;GBP;60761;GB;0;GB;M
2023;MI;FT;Data Scientist;51962;USD;51962;US;100;US;M
2023;SE;FT;Data Analyst;51962;USD;51962;US;100;US;M
2023;SE;FT;Data Analyst;52000;EUR;55800;ES;100;ES;M
2023;MI;FT;Data Engineer;52000;GBP;63192;GB;100;GB;M
2023;MI;FT;Data Analyst;52500;USD;52500;US;100;US;M
2023;SE;FT;Data Analyst;52500;USD;52500;US;0;US;M
2023;MI;FT;Data Analyst;52500;USD;52500;US;0;US;M
2023;EN;FT;Data Analyst;55000;CAD;40663;CA;0;CA;L
2023;SE;FT;Data Analyst;55000;USD;55000;US;0;US;M
2023;EN;FT;Data Analyst;55000;USD;55000;US;0;US;M
2023;EN;FT;Data Analyst;55000;USD;55000;US;0;US;M
2023;MI;FT;Data Scientist;55000;EUR;59020;ES;0;ES;M
2023;MI;FT;Data Engineer;55000;EUR;59020;ES;100;ES;M
2023;MI;FT;Data Scientist;55000;GBP;66837;GB;0;GB;M
2023;MI;FT;Data Engineer;55000;GBP;66837;GB;100;GB;M
2023;MI;FT;Data Scientist;56000;EUR;60093;AT;100;DE;M
2023;EN;FT;Data Analyst;56100;USD;56100;US;100;US;M
2023;EN;FT;Data Engineer;58000;USD;58000;US;100;US;M
2023;SE;FT;Data Scientist;59000;EUR;63312;CY;50;EE;L
2023;EN;FT;Data Analyst;60000;USD;60000;US;100;US;M
2023;MI;FT;Data Engineer;60000;USD;60000;MX;100;MX;M
2023;MI;FT;Data Analyst;60000;USD;60000;US;0;US;M
2023;EN;FT;Data Analyst;60000;USD;60000;US;100;US;M
2023;EN;FT;Data Analyst;60000;USD;60000;US;100;US;L
2023;SE;FT;Data Analyst;60000;USD;60000;US;0;US;M
2023;MI;FT;Data Scientist;60000;EUR;64385;FR;50;FR;M
2023;MI;FT;Data Analyst;60000;GBP;72914;GB;0;GB;M
2023;MI;FT;Data Scientist;60000;GBP;72914;GB;0;GB;M
2023;MI;FT;Data Analyst;60000;GBP;72914;HR;0;HR;M
2023;MI;FT;Data Engineer;60400;USD;60400;US;100;US;M
2023;MI;FT;Data Analyst;61200;USD;61200;US;0;US;M
2023;EN;FT;Data Engineer;61800;USD;61800;US;100;US;M
2023;EN;FT;Data Engineer;61800;USD;61800;US;100;US;M
2023;EN;FT;Data Engineer;62000;USD;62000;US;100;US;M
2023;MI;FT;Data Engineer;62000;EUR;66531;ES;100;ES;M
2023;SE;FT;Data Engineer;63000;USD;63000;US;100;US;M
2023;SE;FT;Data Engineer;63000;USD;63000;US;100;US;M
2023;SE;FT;Data Analyst;64000;USD;64000;US;100;US;M
2023;EN;FT;Data Analyst;64200;USD;64200;US;100;US;M
2023;MI;FT;Data Analyst;64500;USD;64500;US;0;US;M
2023;SE;FT;Data Analyst;65000;USD;65000;US;0;US;M
2023;EN;FT;Data Engineer;65000;USD;65000;US;0;US;M
2023;EN;FT;Data Engineer;65000;USD;65000;US;0;US;M
2023;EN;FT;Data Engineer;65000;USD;65000;US;0;US;M
2023;EN;FT;Data Engineer;65000;USD;65000;US;0;US;M
2023;MI;FT;Data Analyst;65000;USD;65000;US;100;US;M
2023;SE;FT;Data Engineer;65000;USD;65000;US;0;US;M
2023;SE;FT;Data Engineer;65000;USD;65000;US;100;US;M
2023;SE;FT;Data Engineer;65000;EUR;69751;PT;0;PT;M
2023;MI;FT;Data Scientist;65000;GBP;78990;GB;0;GB;M
2023;MI;FT;Data Analyst;65000;GBP;78990;GB;100;GB;M
2023;MI;FT;Data Analyst;65000;GBP;78990;GB;0;GB;M
2023;SE;FT;Data Engineer;65488;USD;65488;US;0;US;M
2023;SE;FT;Data Engineer;65488;USD;65488;US;0;US;M
2023;SE;FT;Data Engineer;66000;USD;66000;US;100;US;M
2023;EN;FT;Data Scientist;70000;CAD;51753;CA;100;CA;L
2023;SE;FT;Data Scientist;70000;USD;70000;US;0;US;M
2023;MI;FT;Data Engineer;70000;USD;70000;US;100;US;M
2023;EN;FT;Data Analyst;70000;USD;70000;US;0;US;M
2023;MI;FT;Data Engineer;70000;USD;70000;US;100;US;M
2023;SE;FT;Data Analyst;70000;USD;70000;US;0;US;M
2023;SE;FT;Data Analyst;70000;USD;70000;US;0;US;M
2023;EN;FT;Data Analyst;70000;USD;70000;US;100;US;M
2023;SE;FT;Data Analyst;70000;USD;70000;US;0;US;M
2023;SE;FT;Data Scientist;70000;USD;70000;US;0;US;M
2023;SE;FT;Data Scientist;70000;USD;70000;US;0;US;M
2023;MI;FT;Data Engineer;70000;USD;70000;US;0;US;M
2023;MI;FT;Data Engineer;70000;EUR;75116;SI;100;SI;M
2023;MI;FT;Data Scientist;70000;GBP;85066;GB;0;GB;M
2023;MI;FT;Data Engineer;70000;GBP;85066;GB;100;GB;M
2023;MI;FT;Data Analyst;70000;GBP;85066;GB;0;GB;M
2023;EN;FT;Data Scientist;71907;USD;71907;US;100;US;M
2023;MI;FT;Data Engineer;72000;USD;72000;MX;100;MX;M
2023;MI;FT;Data Analyst;72000;USD;72000;US;0;US;M
2023;SE;FT;Data Scientist;72000;EUR;77262;LV;0;LV;M
2023;EN;FT;Data Engineer;73900;USD;73900;US;0;US;M
2023;SE;FT;Data Analyst;74178;USD;74178;US;0;US;M
2023;EN;FT;Data Scientist;74540;USD;74540;US;0;US;M
2023;EN;FT;Data Analyst;75000;USD;75000;US;0;US;M
2023;SE;FT;Data Engineer;75000;USD;75000;US;100;US;M
2023;EN;FT;Data Analyst;75000;USD;75000;US;100;US;M
2023;SE;FT;Data Analyst;75000;USD;75000;US;100;US;M
2023;SE;FT;Data Analyst;75000;USD;75000;US;100;US;M
2023;MI;FT;Data Analyst;75000;USD;75000;US;0;US;M
2023;SE;FT;Data Engineer;75000;USD;75000;US;0;US;M
2023;MI;FT;Data Engineer;75000;USD;75000;US;0;US;M
2023;MI;FT;Data Engineer;75000;USD;75000;US;100;US;M
2023;EN;FT;Data Analyst;75000;USD;75000;US;100;US;M
2023;SE;FT;Data Analyst;75000;USD;75000;US;100;US;M
2023;MI;FT;Data Analyst;75000;USD;75000;US;100;US;M
2023;SE;FT;Data Engineer;75000;USD;75000;US;0;US;M
2023;EN;FT;Data Analyst;75000;USD;75000;US;100;US;M
2023;MI;FT;Data Engineer;75000;USD;75000;US;0;US;M
2023;SE;FT;Data Analyst;75000;USD;75000;US;100;US;M
2023;EN;FT;Data Analyst;75000;USD;75000;US;100;US;M
2023;SE;FT;Data Analyst;75000;USD;75000;US;100;US;M
2023;EN;FT;Data Analyst;75000;USD;75000;US;100;US;M
2023;EN;FT;Data Analyst;75000;USD;75000;US;100;US;M
2023;SE;FT;Data Engineer;75000;USD;75000;US;100;US;M
2023;SE;FT;Data Engineer;75000;USD;75000;US;100;US;M
2023;SE;FT;Data Engineer;75000;USD;75000;US;0;US;M
2023;SE;FT;Data Engineer;75000;USD;75000;US;100;US;M
2023;MI;FT;Data Scientist;75000;EUR;80481;IE;0;IE;M
2023;EN;PT;Data Analyst;78000;PLN;17779;PL;100;IN;L
2023;SE;FT;Data Engineer;78000;USD;78000;US;100;US;M
2023;SE;FT;Data Scientist;78000;USD;78000;US;0;US;M
2023;MI;FT;Data Analyst;79000;USD;79000;US;0;US;M
2023;SE;FT;Data Analyst;80000;USD;80000;US;0;US;M
2023;SE;FT;Data Analyst;80000;USD;80000;US;0;US;M
2023;SE;FT;Data Analyst;80000;USD;80000;US;100;US;M
2023;SE;FT;Data Analyst;80000;USD;80000;US;100;US;M
2023;SE;FT;Data Engineer;80000;USD;80000;US;0;US;M
2023;SE;FT;Data Analyst;80000;USD;80000;US;100;US;S
2023;MI;FT;Data Analyst;80000;USD;80000;US;0;US;M
2023;SE;FT;Data Analyst;80000;USD;80000;US;0;US;M
2023;MI;FT;Data Analyst;80000;USD;80000;US;0;US;M
2023;MI;FT;Data Analyst;80000;USD;80000;US;0;US;M
2023;MI;FT;Data Engineer;80000;USD;80000;ES;100;ES;M
2023;MI;FT;Data Analyst;80000;USD;80000;US;0;US;M
2023;SE;FT;Data Analyst;80000;USD;80000;US;100;US;M
2023;MI;FT;Data Analyst;80000;GBP;97218;GB;0;GB;M
2023;SE;FT;Data Engineer;81500;USD;81500;US;0;US;M
2023;SE;FT;Data Engineer;81500;USD;81500;US;0;US;M
2023;SE;FT;Data Engineer;81500;USD;81500;US;0;US;M
2023;SE;FT;Data Engineer;81500;USD;81500;US;100;US;M
2023;SE;FT;Data Engineer;81500;USD;81500;US;0;US;M
